Source,Target,Weight
1375,1655,0.001183899
1375,2569,0.001183899
1375,2433,0.0013812155
1375,149,0.008879242
1375,382,0.001183899
1375,1506,0.0015785319
1375,2536,0.0015785319
1375,2259,0.0021704815
1375,1012,0.0017758484
1375,2313,0.001183899
1375,99,0.0031570639
1375,1409,0.0025651145
1375,1707,0.0013812155
1375,1738,0.001183899
1375,1565,0.0013812155
1375,1953,0.001183899
1375,141,0.005524862
1375,2582,0.0015785319
1375,438,0.0015785319
1375,784,0.002367798
1375,1499,0.0017758484
1375,1836,0.0015785319
1375,2586,0.0029597473
1375,1848,0.0015785319
1375,2628,0.0031570639
1375,1086,0.0013812155
1375,564,0.0021704815
1375,397,0.0013812155
1375,1813,0.005524862
1375,156,0.0015785319
1375,390,0.0015785319
1375,1686,0.0033543804
1375,84,0.001973165
1375,1573,0.0025651145
1375,2046,0.001183899
1375,1073,0.0013812155
1375,1980,0.002762431
1375,1281,0.001183899
1375,2490,0.001183899
1375,822,0.0063141277
1375,282,0.012233622
1375,2515,0.001183899
180,1706,0.0015785319
1585,39,0.002762431
1585,323,0.001973165
1585,2476,0.0013812155
1585,232,0.0013812155
1585,988,0.007498027
1585,481,0.0013812155
1585,431,0.003551697
1585,267,0.0015785319
1585,1706,0.0031570639
1585,2235,0.0015785319
1585,2628,0.005722178
1585,2470,0.00394633
1585,1243,0.0015785319
1585,1686,0.0015785319
1585,778,0.0017758484
1585,1639,0.0025651145
1585,2444,0.0037490134
1585,513,0.0021704815
1585,2633,0.0013812155
1585,2190,0.003551697
2227,2235,0.001973165
61,1093,0.001183899
536,714,0.0017758484
1688,999,0.003551697
2394,246,0.001973165
2394,1706,0.0015785319
2394,1783,0.0015785319
1266,665,0.0029597473
2654,2221,0.001973165
444,2591,0.001183899
508,1191,0.0015785319
1336,872,0.001183899
1336,440,0.00394633
1336,1473,0.0059194947
1336,234,0.0013812155
1089,1737,0.002367798
12,858,0.001183899
12,2591,0.0013812155
1554,1105,0.0017758484
1554,1813,0.002367798
2168,257,0.00394633
2168,2366,0.0015785319
1084,2515,0.0017758484
638,389,0.002762431
2350,1673,0.002367798
2479,1057,0.0015785319
1,323,0.001183899
1,1421,0.0017758484
506,2525,0.0013812155
506,2121,0.003551697
1197,1602,0.0021704815
1580,2086,0.0021704815
1580,2518,0.002367798
1580,1579,0.001183899
1580,353,0.0063141277
1580,2019,0.0021704815
1580,149,0.002367798
1580,2032,0.0017758484
1580,1809,0.001183899
1580,2122,0.0013812155
1580,1093,0.002367798
1580,1149,0.011838989
1580,1223,0.005130229
1580,1474,0.0015785319
1580,2163,0.002762431
1580,1673,0.019534333
1580,864,0.0017758484
1580,84,0.0025651145
1580,1868,0.0017758484
1580,1878,0.0025651145
2419,1013,0.0013812155
2419,2643,0.001183899
