Source,Target,Weight
3889,2694,0.014555699
3889,4006,0.0011738467
3889,1282,9.3907735E-4
3889,36,0.0037563094
3889,3947,0.0015260007
3889,529,0.0021129241
3889,1301,0.0015260007
3889,2497,0.003873694
3889,3376,0.0025824627
3889,1431,0.0015260007
3889,3096,0.0039910786
3889,2593,0.026528936
3889,421,0.009977696
3889,3268,0.0014086161
3889,4026,0.0017607701
3889,4000,8.216927E-4
3889,772,0.0031693862
3889,2807,0.0021129241
3889,653,0.0064561567
3889,3895,0.0014086161
3889,2568,7.0430804E-4
3889,1987,0.0048127715
3889,3011,0.0024650781
3889,3736,0.0084516965
3889,3695,9.3907735E-4
3889,3378,7.0430804E-4
3889,3507,0.0018781547
3889,3204,0.0012912314
3889,1606,0.0011738467
3889,1409,0.0025824627
3889,2908,0.0011738467
3889,1892,0.0011738467
3889,3288,0.0030520014
3889,2410,0.008921235
3889,1609,0.0036389248
3889,2943,0.0042258482
3889,3530,8.216927E-4
3889,2165,7.0430804E-4
3889,562,0.0018781547
3889,3652,0.0017607701
3889,3776,0.0011738467
3889,3847,0.0012912314
3889,248,0.0019955393
3889,1351,9.3907735E-4
3889,1050,0.0015260007
3889,1031,7.0430804E-4
3889,234,0.0019955393
3889,594,8.216927E-4
3889,160,8.216927E-4
3889,2582,8.216927E-4
3889,3019,0.0053996947
3889,2205,7.0430804E-4
3889,1677,8.216927E-4
3889,2283,0.0010564621
3889,1087,0.0014086161
3889,3034,0.0026998473
3889,946,0.0015260007
3889,2148,0.0011738467
3889,865,0.0011738467
3889,1670,8.216927E-4
3889,2495,0.0010564621
3889,3547,0.0034041554
3889,2374,0.0011738467
3889,1865,0.0011738467
3889,1196,8.216927E-4
3889,186,0.0019955393
3889,1119,0.0024650781
3889,404,0.0014086161
3889,702,0.0017607701
3889,2982,0.0014086161
3889,2475,0.0019955393
3889,1596,9.3907735E-4
3889,1515,0.026998473
3889,1686,0.0030520014
3889,1169,0.022185702
3889,2173,8.216927E-4
3889,437,0.0016433854
3889,3503,0.0014086161
3889,2466,0.0010564621
3889,3276,7.0430804E-4
3889,2217,0.0011738467
3889,3069,0.0029346168
3889,3429,0.003873694
3889,3881,0.012794929
3889,2508,0.02441601
3889,2167,0.0041084634
3889,3281,0.0018781547
3889,2267,9.3907735E-4
3889,1496,0.0018781547
3889,3857,7.0430804E-4
3889,3101,0.0021129241
3889,150,0.0012912314
3889,1344,0.0036389248
3889,492,0.022185702
3889,93,8.216927E-4
3889,2175,0.0030520014
3889,1264,8.216927E-4
3889,1633,0.0062213875
3889,1915,0.0017607701
3889,804,8.216927E-4
3889,3375,0.0015260007
3889,2030,0.0017607701
3889,981,0.0010564621
3889,1516,0.0019955393
3889,3317,0.0010564621
3889,669,0.0024650781
3889,1631,0.0016433854
3889,2488,0.0028172322
2086,1053,0.0011738467
2086,1990,0.0015260007
1816,2884,0.0011738467
4018,4,0.0029346168
3571,2069,0.0014086161
2460,2497,7.0430804E-4
2460,3456,0.0011738467
2510,1637,0.0010564621
2510,1377,8.216927E-4
2699,2497,0.0010564621
2699,3551,9.3907735E-4
2458,3497,0.0021129241
834,3069,0.0016433854
285,3939,0.0016433854
285,3411,0.0058692335
285,1669,0.0019955393
285,3625,0.0056344643
285,3744,0.0063387724
285,745,0.0015260007
